[TensorBoard] Logging enabled: parallel_experiments/Reacher-v2_20250724_145146/seed_7/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Reacher-v2_20250724_145146/seed_7/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
#Games: 1705 #Frames: 85250  Train_Max: -8.07  Test_Score: -8.32  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.85  PG Loss: 2.3542

#Games: 1736 #Frames: 86800  Train_Max: -5.98  Test_Score: -7.11  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.28  PG Loss: 2.3467

#Games: 1767 #Frames: 88350  Train_Max: -7.78  Test_Score: -8.97  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.83  PG Loss: 2.3511

#Games: 1798 #Frames: 89900  Train_Max: -6.86  Test_Score: -8.52  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.53  PG Loss: 2.3502

#Games: 1829 #Frames: 91450  Train_Max: -5.77  Test_Score: -6.14  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.80  PG Loss: 2.3524

Progress Saved
Sync from RL --> Nevo
#Games: 1860 #Frames: 93000  Train_Max: -5.79  Test_Score: -7.90  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.95  PG Loss: 2.3453

#Games: 1891 #Frames: 94550  Train_Max: -7.83  Test_Score: -7.55  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.92  PG Loss: 2.3407

#Games: 1922 #Frames: 96100  Train_Max: -4.85  Test_Score: -4.26  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.15  PG Loss: 2.3393

#Games: 1953 #Frames: 97650  Train_Max: -5.82  Test_Score: -5.05  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.67  PG Loss: 2.3298

#Games: 1984 #Frames: 99200  Train_Max: -6.03  Test_Score: -4.74  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.61  PG Loss: 2.3218

#Games: 2015 #Frames: 100750  Train_Max: -5.93  Test_Score: -6.82  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.05  PG Loss: 2.3177

Progress Saved
#Games: 2046 #Frames: 102300  Train_Max: -4.00  Test_Score: -5.99  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.89  PG Loss: 2.3046

#Games: 2077 #Frames: 103850  Train_Max: -3.58  Test_Score: -5.84  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.88  PG Loss: 2.3014

#Games: 2108 #Frames: 105400  Train_Max: -5.17  Test_Score: -5.52  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.28  PG Loss: 2.2862

#Games: 2139 #Frames: 106950  Train_Max: -6.20  Test_Score: -6.88  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.05  PG Loss: 2.2649

Sync from RL --> Nevo
#Games: 2170 #Frames: 108500  Train_Max: -4.82  Test_Score: -4.90  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.80  PG Loss: 2.2506

#Games: 2201 #Frames: 110050  Train_Max: -6.47  Test_Score: -8.98  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.89  PG Loss: 2.2360

Progress Saved
#Games: 2232 #Frames: 111600  Train_Max: -5.65  Test_Score: -5.55  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.44  PG Loss: 2.2206

#Games: 2263 #Frames: 113150  Train_Max: -4.86  Test_Score: -4.17  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.69  PG Loss: 2.2052

#Games: 2294 #Frames: 114700  Train_Max: -3.74  Test_Score: -6.82  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.77  PG Loss: 2.1929

#Games: 2325 #Frames: 116250  Train_Max: -4.04  Test_Score: -6.52  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.09  PG Loss: 2.1814

#Games: 2356 #Frames: 117800  Train_Max: -5.49  Test_Score: -5.12  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.71  PG Loss: 2.1674

#Games: 2387 #Frames: 119350  Train_Max: -6.95  Test_Score: -8.41  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.30  PG Loss: 2.1598

#Games: 2418 #Frames: 120900  Train_Max: -2.23  Test_Score: -4.99  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.75  PG Loss: 2.1548

Progress Saved
#Games: 2449 #Frames: 122450  Train_Max: -3.81  Test_Score: -7.97  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.85  PG Loss: 2.1462

Sync from RL --> Nevo
#Games: 2480 #Frames: 124000  Train_Max: -3.37  Test_Score: -10.75  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.89  PG Loss: 2.1468

#Games: 2511 #Frames: 125550  Train_Max: -6.36  Test_Score: -6.77  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.04  PG Loss: 2.1415

#Games: 2542 #Frames: 127100  Train_Max: -3.86  Test_Score: -4.69  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.67  PG Loss: 2.1369

#Games: 2573 #Frames: 128650  Train_Max: -6.07  Test_Score: -7.64  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.02  PG Loss: 2.1383

#Games: 2604 #Frames: 130200  Train_Max: -5.17  Test_Score: -6.93  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.82  PG Loss: 2.1314

Progress Saved
#Games: 2635 #Frames: 131750  Train_Max: -3.84  Test_Score: -5.56  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.96  PG Loss: 2.1354

#Games: 2666 #Frames: 133300  Train_Max: -5.59  Test_Score: -5.72  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.82  PG Loss: 2.1359

#Games: 2697 #Frames: 134850  Train_Max: -4.80  Test_Score: -7.72  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -7.25  PG Loss: 2.1378

#Games: 2728 #Frames: 136400  Train_Max: -5.45  Test_Score: -7.43  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.20  PG Loss: 2.1397

#Games: 2759 #Frames: 137950  Train_Max: -6.48  Test_Score: -5.84  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.65  PG Loss: 2.1494

Sync from RL --> Nevo
#Games: 2790 #Frames: 139500  Train_Max: -5.73  Test_Score: -7.30  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.14  PG Loss: 2.1568

#Games: 2821 #Frames: 141050  Train_Max: -5.07  Test_Score: -4.88  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -4.86  PG Loss: 2.1636

Progress Saved
#Games: 2852 #Frames: 142600  Train_Max: -5.62  Test_Score: -3.52  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -3.71  PG Loss: 2.1684

#Games: 2883 #Frames: 144150  Train_Max: -3.54  Test_Score: -6.87  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -3.19  PG Loss: 2.1764

#Games: 2914 #Frames: 145700  Train_Max: -5.35  Test_Score: -7.58  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.69  PG Loss: 2.1709

#Games: 2945 #Frames: 147250  Train_Max: -5.90  Test_Score: -9.93  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -6.59  PG Loss: 2.1754

#Games: 2976 #Frames: 148800  Train_Max: -5.49  Test_Score: -6.06  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -3.62  PG Loss: 2.1801

#Games: 3007 #Frames: 150350  Train_Max: -4.98  Test_Score: -5.66  Avg: 0.00  ENV:  Reacher-v2  DDPG Reward: -5.93  PG Loss: 2.1867

Progress Saved
