bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
[TensorBoard] Logging enabled: parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_3/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/HalfCheetah-v2_standard_20250729_145817/seed_3/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 6,
#Games: 572 #Frames: 572000  Train_Max: 5630.47  Test_Score: 5597.82  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5753.93  PG Loss: -506.5177

#Games: 583 #Frames: 583000  Train_Max: 5750.73  Test_Score: 5697.36  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5947.95  PG Loss: -512.4150

#Games: 594 #Frames: 594000  Train_Max: 5756.62  Test_Score: 5716.42  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6026.78  PG Loss: -517.6339

#Games: 605 #Frames: 605000  Train_Max: 5865.15  Test_Score: 5796.00  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5833.51  PG Loss: -522.3192

Progress Saved
#Games: 616 #Frames: 616000  Train_Max: 5890.97  Test_Score: 5896.99  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5934.37  PG Loss: -526.9976

#Games: 627 #Frames: 627000  Train_Max: 5959.55  Test_Score: 5867.56  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5899.40  PG Loss: -531.7452

#Games: 638 #Frames: 638000  Train_Max: 5950.81  Test_Score: 6002.69  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 5914.01  PG Loss: -536.5409

#Games: 649 #Frames: 649000  Train_Max: 5990.62  Test_Score: 5983.16  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6091.90  PG Loss: -541.0703

Sync from RL --> Nevo
#Games: 660 #Frames: 660000  Train_Max: 5950.21  Test_Score: 6029.20  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6197.83  PG Loss: -545.2937

#Games: 671 #Frames: 671000  Train_Max: 6237.72  Test_Score: 6189.12  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6210.37  PG Loss: -549.5670

#Games: 682 #Frames: 682000  Train_Max: 6175.99  Test_Score: 6041.76  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6244.73  PG Loss: -554.1558

#Games: 693 #Frames: 693000  Train_Max: 6181.98  Test_Score: 6028.00  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6283.70  PG Loss: -558.6323

#Games: 704 #Frames: 704000  Train_Max: 6122.84  Test_Score: 5982.52  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 6197.63  PG Loss: -562.9958

