[TensorBoard] Logging enabled: parallel_experiments/Swimmer-v2_20250725_044206/seed_1/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Swimmer-v2_20250725_044206/seed_1/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 2,
#Games: 803 #Frames: 803000  Train_Max: 262.83  Test_Score: 258.33  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 90.27  PG Loss: -27.4787

Progress Saved
#Games: 814 #Frames: 814000  Train_Max: 279.91  Test_Score: 273.68  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 54.84  PG Loss: -27.5292

#Games: 825 #Frames: 825000  Train_Max: 282.36  Test_Score: 286.78  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 45.91  PG Loss: -27.4744

#Games: 836 #Frames: 836000  Train_Max: 294.01  Test_Score: 288.47  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 44.54  PG Loss: -27.4611

#Games: 847 #Frames: 847000  Train_Max: 301.14  Test_Score: 301.15  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 50.47  PG Loss: -27.4774

#Games: 858 #Frames: 858000  Train_Max: 299.65  Test_Score: 302.19  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 47.84  PG Loss: -27.4305

#Games: 869 #Frames: 869000  Train_Max: 306.72  Test_Score: 301.45  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 42.82  PG Loss: -27.4222

Sync from RL --> Nevo
#Games: 880 #Frames: 880000  Train_Max: 305.10  Test_Score: 304.08  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 43.53  PG Loss: -27.3778

#Games: 891 #Frames: 891000  Train_Max: 310.59  Test_Score: 312.95  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 72.09  PG Loss: -27.3854

#Games: 902 #Frames: 902000  Train_Max: 312.43  Test_Score: 310.65  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 59.37  PG Loss: -27.3976

#Games: 913 #Frames: 913000  Train_Max: 312.96  Test_Score: 311.74  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 57.23  PG Loss: -27.4711

#Games: 924 #Frames: 924000  Train_Max: 312.17  Test_Score: 313.62  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 42.04  PG Loss: -27.5371

#Games: 935 #Frames: 935000  Train_Max: 311.79  Test_Score: 312.64  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 70.30  PG Loss: -27.6380

#Games: 946 #Frames: 946000  Train_Max: 310.59  Test_Score: 313.13  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 76.86  PG Loss: -27.7121

#Games: 957 #Frames: 957000  Train_Max: 312.49  Test_Score: 313.97  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 54.84  PG Loss: -27.7388

#Games: 968 #Frames: 968000  Train_Max: 311.56  Test_Score: 309.54  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 62.19  PG Loss: -27.8479

#Games: 979 #Frames: 979000  Train_Max: 313.29  Test_Score: 313.02  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 70.80  PG Loss: -28.0123

Sync from RL --> Nevo
#Games: 990 #Frames: 990000  Train_Max: 319.47  Test_Score: 313.68  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 50.48  PG Loss: -28.0998

#Games: 1001 #Frames: 1001000  Train_Max: 311.04  Test_Score: 313.32  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 66.17  PG Loss: -28.1708

Progress Saved
#Games: 1012 #Frames: 1012000  Train_Max: 310.05  Test_Score: 311.23  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 54.09  PG Loss: -28.2200

#Games: 1023 #Frames: 1023000  Train_Max: 314.46  Test_Score: 312.04  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 52.19  PG Loss: -28.3526

#Games: 1034 #Frames: 1034000  Train_Max: 316.46  Test_Score: 311.14  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 56.09  PG Loss: -28.4918

#Games: 1045 #Frames: 1045000  Train_Max: 307.44  Test_Score: 310.92  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 51.40  PG Loss: -28.6635

#Games: 1056 #Frames: 1056000  Train_Max: 315.26  Test_Score: 308.58  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 58.76  PG Loss: -28.7692

#Games: 1067 #Frames: 1067000  Train_Max: 309.68  Test_Score: 312.32  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 53.41  PG Loss: -28.8982

#Games: 1078 #Frames: 1078000  Train_Max: 312.94  Test_Score: 307.03  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 47.69  PG Loss: -28.9517

#Games: 1089 #Frames: 1089000  Train_Max: 311.08  Test_Score: 314.82  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 55.78  PG Loss: -29.0998

Sync from RL --> Nevo
#Games: 1100 #Frames: 1100000  Train_Max: 312.62  Test_Score: 315.26  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 50.92  PG Loss: -29.2345

#Games: 1111 #Frames: 1111000  Train_Max: 320.06  Test_Score: 312.52  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 49.19  PG Loss: -29.3482

#Games: 1122 #Frames: 1122000  Train_Max: 314.20  Test_Score: 312.60  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 52.92  PG Loss: -29.4078

#Games: 1133 #Frames: 1133000  Train_Max: 312.50  Test_Score: 313.78  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 44.00  PG Loss: -29.4569

#Games: 1144 #Frames: 1144000  Train_Max: 317.06  Test_Score: 314.03  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 50.03  PG Loss: -29.5211

#Games: 1155 #Frames: 1155000  Train_Max: 313.45  Test_Score: 313.24  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 50.13  PG Loss: -29.6396

#Games: 1166 #Frames: 1166000  Train_Max: 312.11  Test_Score: 316.30  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 69.28  PG Loss: -29.6781

#Games: 1177 #Frames: 1177000  Train_Max: 313.59  Test_Score: 312.82  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 53.73  PG Loss: -29.6889

#Games: 1188 #Frames: 1188000  Train_Max: 314.94  Test_Score: 314.10  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 51.00  PG Loss: -29.7318

#Games: 1199 #Frames: 1199000  Train_Max: 313.68  Test_Score: 313.94  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 65.87  PG Loss: -29.8311

Sync from RL --> Nevo
#Games: 1210 #Frames: 1210000  Train_Max: 312.30  Test_Score: 312.74  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 58.58  PG Loss: -29.8046

Progress Saved
#Games: 1221 #Frames: 1221000  Train_Max: 316.26  Test_Score: 312.20  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 71.89  PG Loss: -29.6999

#Games: 1232 #Frames: 1232000  Train_Max: 317.48  Test_Score: 313.05  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 60.94  PG Loss: -29.7297

